Date,Bullish,Neutral,Bearish,BullBearSpread
1987-07-24,36.0000,50.0000,14.0000,22.0000
1987-07-31,26.0000,48.0000,26.0000,0.0000
1987-08-07,56.0000,15.0000,29.0000,27.0000
1987-08-14,45.0000,35.0000,20.0000,25.0000
1987-08-21,66.0000,28.0000,6.0000,60.0000
1987-08-28,52.0000,18.0000,30.0000,22.0000
1987-09-04,42.0000,17.0000,41.0000,1.0000
1987-09-11,50.0000,23.0000,27.0000,23.0000
1987-09-18,60.0000,29.0000,11.0000,49.0000
1987-09-25,53.0000,17.0000,30.0000,23.0000
1987-10-02,44.0000,26.0000,30.0000,14.0000
1987-10-09,46.0000,39.0000,15.0000,31.0000
1987-10-16,37.0000,30.0000,33.0000,4.0000
1987-10-23,39.0000,30.0000,31.0000,8.0000
1987-10-30,44.0000,23.0000,33.0000,11.0000
1987-11-06,47.0000,31.0000,22.0000,25.0000
1987-11-13,31.0000,41.0000,28.0000,3.0000
1987-11-20,39.0000,42.0000,19.0000,20.0000
1987-11-27,27.0000,46.0000,27.0000,0.0000
1987-12-04,25.0000,33.0000,42.0000,-17.0000
1987-12-11,23.0000,45.0000,32.0000,-9.0000
1987-12-18,33.0000,40.0000,27.0000,6.0000
1987-12-24,28.0000,52.0000,20.0000,8.0000
1987-12-31,25.0000,49.0000,26.0000,-1.0000
1988-01-08,34.0000,46.0000,20.0000,14.0000
1988-01-15,34.0000,40.0000,26.0000,8.0000
1988-01-22,21.0000,48.0000,31.0000,-10.0000
1988-01-29,26.0000,45.0000,29.0000,-3.0000
1988-02-05,32.0000,53.0000,15.0000,17.0000
1988-02-12,32.0000,46.0000,22.0000,10.0000
1988-02-19,27.0000,49.0000,24.0000,3.0000
1988-02-26,30.0000,51.0000,19.0000,11.0000
1988-03-04,38.0000,40.0000,22.0000,16.0000
1988-03-11,43.0000,40.0000,17.0000,26.0000
1988-03-18,41.0000,49.0000,10.0000,31.0000
1988-03-25,45.0000,38.0000,17.0000,28.0000
1988-04-01,35.0000,45.0000,20.0000,15.0000
1988-04-08,33.0000,48.0000,19.0000,14.0000
1988-04-15,23.0000,53.0000,24.0000,-1.0000
1988-04-22,23.0000,57.0000,20.0000,3.0000
1988-04-29,22.0000,48.0000,30.0000,-8.0000
1988-05-06,38.0000,42.0000,20.0000,18.0000
1988-05-13,19.0000,56.0000,25.0000,-6.0000
1988-05-20,23.0000,52.0000,25.0000,-2.0000
1988-05-27,28.0000,52.0000,20.0000,8.0000
1988-06-03,26.0000,62.0000,12.0000,14.0000
1988-06-10,28.0000,49.0000,23.0000,5.0000
1988-06-17,29.0000,50.0000,21.0000,8.0000
1988-06-24,33.0000,44.0000,23.0000,10.0000
1988-07-01,45.0000,38.0000,17.0000,28.0000
1988-07-08,35.0000,50.0000,15.0000,20.0000
1988-07-15,26.0000,37.0000,37.0000,-11.0000
1988-07-22,16.0000,58.0000,26.0000,-10.0000
1988-07-29,23.0000,54.0000,23.0000,0.0000
1988-08-05,21.0000,49.0000,30.0000,-9.0000
1988-08-12,26.0000,48.0000,26.0000,0.0000
1988-08-19,19.0000,53.0000,28.0000,-9.0000
1988-08-26,28.0000,40.0000,32.0000,-4.0000
1988-09-02,18.0000,43.0000,39.0000,-21.0000
1988-09-09,17.0000,52.0000,31.0000,-14.0000
1988-09-16,24.0000,46.0000,30.0000,-6.0000
1988-09-23,20.0000,53.0000,27.0000,-7.0000
1988-09-30,26.0000,44.0000,30.0000,-4.0000
1988-10-07,13.0000,49.0000,38.0000,-25.0000
1988-10-14,22.0000,46.0000,32.0000,-10.0000
1988-10-21,26.0000,51.0000,23.0000,3.0000
1988-10-28,40.0000,38.0000,22.0000,18.0000
1988-11-04,35.0000,46.0000,19.0000,16.0000
1988-11-11,23.0000,56.0000,21.0000,2.0000
1988-11-18,30.0000,34.0000,36.0000,-6.0000
1988-11-25,17.0000,44.0000,39.0000,-22.0000
1988-12-02,19.0000,47.0000,34.0000,-15.0000
1988-12-09,17.0000,44.0000,39.0000,-22.0000
1988-12-16,24.0000,54.0000,22.0000,2.0000
1988-12-23,22.0000,46.0000,32.0000,-10.0000
1988-12-30,24.0000,54.0000,22.0000,2.0000
1989-01-06,26.0000,51.0000,23.0000,3.0000
1989-01-13,36.0000,44.0000,20.0000,16.0000
1989-01-20,36.0000,47.0000,17.0000,19.0000
1989-01-27,32.0000,49.0000,19.0000,13.0000
1989-02-03,33.0000,44.0000,23.0000,10.0000
