Date,Ratio
1947-10-01,36.6190
1948-10-01,33.5779
1949-10-01,38.3635
1950-10-01,39.5946
1951-10-01,41.4481
1952-01-01,42.0941
1952-04-01,43.6548
1952-07-01,42.6724
1952-10-01,38.5040
1953-01-01,36.8710
1953-04-01,34.1586
1953-07-01,33.0480
1953-10-01,37.3298
1954-01-01,40.5494
1954-04-01,44.6881
1954-07-01,49.1015
1954-10-01,48.7424
1955-01-01,48.9313
1955-04-01,53.5032
1955-07-01,56.0166
1955-10-01,55.8743
1956-01-01,59.6583
1956-04-01,56.6588
1956-07-01,54.7070
1956-10-01,58.2833
1957-01-01,54.0729
1957-04-01,57.8520
1957-07-01,51.1777
1957-10-01,51.7510
1958-01-01,55.8923
1958-04-01,59.0208
1958-07-01,63.9182
1958-10-01,64.9918
1959-01-01,65.0583
1959-04-01,66.2870
1959-07-01,64.7339
1959-10-01,68.5125
1960-01-01,62.5286
1960-04-01,64.2397
1960-07-01,58.8861
1960-10-01,67.5987
1961-01-01,75.2916
1961-04-01,74.0813
1961-07-01,74.6253
1961-10-01,75.3815
1962-01-01,72.0407
1962-04-01,54.3972
1962-07-01,56.7073
1962-10-01,69.3006
1963-01-01,72.0607
1963-04-01,74.4779
1963-07-01,75.6741
1963-10-01,71.2268
1964-01-01,73.9043
1964-04-01,75.3077
1964-07-01,76.4349
1964-10-01,78.2934
1965-01-01,77.9941
1965-04-01,73.8781
1965-07-01,78.4612
1965-10-01,80.8196
1966-01-01,76.1897
1966-04-01,72.1818
1966-07-01,63.8364
1966-10-01,65.7494
1967-01-01,74.1031
1967-04-01,75.5389
1967-07-01,78.4284
1967-10-01,80.8021
1968-01-01,71.7774
1968-04-01,78.2489
1968-07-01,76.6215
1968-10-01,87.0996
1969-01-01,80.8788
1969-04-01,76.7562
1969-07-01,72.2317
1969-10-01,67.9167
1970-01-01,64.4743
1970-04-01,50.7644
1970-07-01,58.3533
1970-10-01,64.5303
1971-01-01,68.2547
1971-04-01,67.3425
1971-07-01,65.0099
1971-10-01,69.2296
1972-01-01,70.8780
1972-04-01,69.1106
1972-07-01,69.2494
1972-10-01,77.7293
1973-01-01,70.4752
1973-04-01,63.9255
1973-07-01,66.5154
1973-10-01,54.8379
1974-01-01,52.5986
1974-04-01,47.2811
1974-07-01,34.6471
1974-10-01,34.8605
1975-01-01,42.3853
1975-04-01,47.9280
1975-07-01,41.0433
1975-10-01,42.8473
1976-01-01,47.6947
1976-04-01,47.9261
1976-07-01,47.5671
1976-10-01,47.9463
1977-01-01,43.1002
1977-04-01,42.9043
1977-07-01,39.9018
1977-10-01,37.8500
1978-01-01,35.1328
1978-04-01,35.7350
1978-07-01,37.4026
1978-10-01,34.5722
1979-01-01,36.0521
1979-04-01,35.5483
1979-07-01,36.7812
1979-10-01,37.2550
1980-01-01,34.2998
1980-04-01,38.4867
1980-07-01,42.5000
1980-10-01,45.1012
1981-01-01,43.2432
1981-04-01,41.6079
1981-07-01,34.8444
1981-10-01,37.3577
1982-01-01,33.3029
1982-04-01,32.2228
1982-07-01,34.8390
1982-10-01,40.7481
1983-01-01,44.1584
1983-04-01,48.5272
1983-07-01,46.3388
1983-10-01,42.9681
1984-01-01,39.0938
1984-04-01,36.3131
1984-07-01,37.7851
1984-10-01,37.4505
1985-01-01,39.5137
1985-04-01,40.6077
1985-07-01,37.4389
1985-10-01,43.1501
1986-01-01,47.4205
1986-04-01,49.4006
1986-07-01,44.1151
1986-10-01,48.1339
1987-01-01,57.3754
1987-04-01,57.9427
1987-07-01,60.3038
1987-10-01,45.6805
1988-01-01,47.7070
1988-04-01,48.4793
1988-07-01,46.5759
1988-10-01,47.3994
1989-01-01,48.4582
1989-04-01,50.5526
1989-07-01,53.6852
1989-10-01,54.6351
1990-01-01,51.2014
1990-04-01,52.6214
1990-07-01,44.1350
1990-10-01,49.2444
1991-01-01,56.3020
1991-04-01,54.7749
1991-07-01,57.0103
1991-10-01,63.8581
1992-01-01,61.5158
1992-04-01,59.9096
1992-07-01,60.5101
1992-10-01,65.4002
1993-01-01,66.7753
1993-04-01,66.3133
1993-07-01,67.5112
1993-10-01,69.3687
1994-01-01,65.4719
1994-04-01,63.1039
1994-07-01,65.9327
1994-10-01,64.8074
1995-01-01,69.1703
1995-04-01,74.3055
1995-07-01,78.9344
1995-10-01,82.9836
1996-01-01,85.5142
1996-04-01,87.5861
1996-07-01,87.3210
1996-10-01,89.6330
1997-01-01,89.1277
1997-04-01,100.9044
1997-07-01,107.4104
1997-10-01,107.5765
1998-01-01,121.6598
1998-04-01,122.4499
1998-07-01,108.6832
1998-10-01,127.8488
1999-01-01,129.1725
1999-04-01,138.6726
1999-07-01,131.1146
1999-10-01,155.4068
2000-01-01,162.6140
2000-04-01,152.3805
2000-07-01,147.9009
2000-10-01,128.0303
2001-01-01,112.7087
2001-04-01,119.4144
2001-07-01,100.1074
2001-10-01,112.0327
2002-01-01,111.3088
2002-04-01,95.6836
2002-07-01,78.9021
2002-10-01,83.7944
2003-01-01,80.7449
2003-04-01,91.6476
2003-07-01,93.0741
2003-10-01,101.3426
2004-01-01,103.4842
2004-04-01,104.3255
2004-07-01,100.3206
2004-10-01,107.8977
2005-01-01,105.4595
2005-04-01,106.3055
2005-07-01,108.2269
2005-10-01,106.7063
2006-01-01,112.0151
2006-04-01,107.2113
2006-07-01,109.1989
2006-10-01,114.1279
2007-01-01,117.1702
2007-04-01,120.7614
2007-07-01,120.6359
2007-10-01,114.9462
2008-01-01,106.1120
2008-04-01,103.8865
2008-07-01,92.7574
2008-10-01,75.5611
2009-01-01,69.0029
2009-04-01,78.9308
2009-07-01,89.8032
2009-10-01,93.3302
2010-01-01,96.3237
2010-04-01,85.2794
2010-07-01,93.5331
2010-10-01,101.6709
2011-01-01,107.8685
2011-04-01,106.1370
2011-07-01,90.6654
2011-10-01,98.4363
2012-01-01,105.8929
2012-04-01,102.0682
2012-07-01,108.1154
2012-10-01,106.4641
2013-01-01,117.9483
2013-04-01,119.5392
2013-07-01,124.3386
2013-10-01,131.9315
2014-01-01,136.2619
2014-04-01,139.8951
2014-07-01,136.5861
2014-10-01,141.3445
2015-01-01,141.1228
2015-04-01,137.7656
2015-07-01,126.5062
2015-10-01,132.0659
2016-01-01,133.6415
2016-04-01,134.9243
2016-07-01,136.7673
2016-10-01,135.4237
2017-01-01,141.3694
2017-04-01,142.4622
2017-07-01,144.4984
2017-10-01,149.8290
2018-01-01,146.3184
2018-04-01,149.8621
2018-07-01,156.5427
2018-10-01,133.5075
2019-01-01,150.8269
2019-04-01,152.4798
2019-07-01,150.9526
2019-10-01,159.8781
2020-01-01,128.7605
2020-04-01,173.1202
2020-07-01,175.6101
2020-10-01,198.2525
2021-01-01,205.9401
2021-04-01,215.6902
2021-07-01,210.8136
2021-10-01,218.7350
2022-01-01,202.9448
2022-04-01,163.8038
2022-07-01,153.2763
2022-10-01,157.1301
2023-01-01,166.8774
2023-04-01,177.7455
2023-07-01,167.1526
2023-10-01,182.0652
2024-01-01,197.3334
2024-04-01,199.6546
2024-07-01,207.9858
2024-10-01,210.4532
2025-01-01,197.8175
2025-04-01,214.3079
2025-07-01,226.3720
2025-10-01,229.1187
2026-01-01,219.7295
2026-04-01,255.6507
