Date,NFCI,ANFCI
1971-01-08,0.6000,0.6100
1971-01-15,0.6320,0.6640
1971-01-22,0.6700,0.7360
1971-01-29,0.7100,0.8180
1971-02-05,0.7530,0.9010
1971-02-12,0.7960,0.9760
1971-02-19,0.8380,1.0330
1971-02-26,0.8790,1.0680
1971-03-05,0.9220,1.0830
1971-03-12,0.9670,1.0830
1971-03-19,1.0190,1.0780
1971-03-26,1.0780,1.0860
1971-04-02,1.1450,1.1230
1971-04-09,1.2180,1.2020
1971-04-16,1.2940,1.3270
1971-04-23,1.3650,1.4880
1971-04-30,1.4250,1.6640
1971-05-07,1.4650,1.8250
1971-05-14,1.4770,1.9360
1971-05-21,1.4560,1.9700
1971-05-28,1.4030,1.9110
1971-06-04,1.3220,1.7570
1971-06-11,1.2220,1.5190
1971-06-18,1.1190,1.2280
1971-06-25,1.0300,0.9270
1971-07-02,0.9710,0.6630
1971-07-09,0.9590,0.4910
1971-07-16,1.0010,0.4540
1971-07-23,1.1020,0.5780
1971-07-30,1.2550,0.8590
1971-08-06,1.4470,1.2610
1971-08-13,1.6570,1.7250
1971-08-20,1.8620,2.1820
1971-08-27,2.0380,2.5590
1971-09-03,2.1680,2.8120
1971-09-10,2.2380,2.9140
1971-09-17,2.2480,2.8720
1971-09-24,2.2000,2.7060
1971-10-01,2.1060,2.4560
1971-10-08,1.9790,2.1640
1971-10-15,1.8390,1.8790
1971-10-22,1.7000,1.6380
1971-10-29,1.5780,1.4730
1971-11-05,1.4820,1.3970
1971-11-12,1.4160,1.4060
1971-11-19,1.3780,1.4840
1971-11-26,1.3630,1.6030
1971-12-03,1.3620,1.7330
1971-12-10,1.3660,1.8460
1971-12-17,1.3650,1.9150
1971-12-24,1.3490,1.9250
1971-12-31,1.3170,1.8710
1972-01-07,1.2590,1.7460
1972-01-14,1.1830,1.5780
1972-01-21,1.0910,1.3800
1972-01-28,0.9890,1.1770
1972-02-04,0.8850,0.9930
1972-02-11,0.7840,0.8380
1972-02-18,0.6910,0.7190
1972-02-25,0.6080,0.6360
1972-03-03,0.5360,0.5840
1972-03-10,0.4770,0.5610
1972-03-17,0.4260,0.5560
1972-03-24,0.3820,0.5610
1972-03-31,0.3400,0.5610
1972-04-07,0.2960,0.5460
1972-04-14,0.2500,0.5050
1972-04-21,0.2010,0.4360
1972-04-28,0.1530,0.3430
1972-05-05,0.1080,0.2380
1972-05-12,0.0700,0.1370
1972-05-19,0.0430,0.0550
1972-05-26,0.0330,0.0090
1972-06-02,0.0400,0.0060
1972-06-09,0.0660,0.0510
1972-06-16,0.1070,0.1380
1972-06-23,0.1600,0.2560
1972-06-30,0.2160,0.3880
1972-07-07,0.2680,0.5140
1972-07-14,0.3100,0.6150
1972-07-21,0.3340,0.6740
1972-07-28,0.3370,0.6780
1972-08-04,0.3190,0.6220
1972-08-11,0.2800,0.5090
1972-08-18,0.2240,0.3520
1972-08-25,0.1590,0.1700
1972-09-01,0.0890,-0.0150
1972-09-08,0.0240,-0.1770
1972-09-15,-0.0330,-0.3010
1972-09-22,-0.0790,-0.3790
1972-09-29,-0.1120,-0.4140
1972-10-06,-0.1360,-0.4130
1972-10-13,-0.1520,-0.3920
1972-10-20,-0.1650,-0.3620
1972-10-27,-0.1770,-0.3350
1972-11-03,-0.1920,-0.3200
1972-11-10,-0.2100,-0.3230
1972-11-17,-0.2300,-0.3480
1972-11-24,-0.2520,-0.3950
1972-12-01,-0.2700,-0.4570
1972-12-08,-0.2800,-0.5250
1972-12-15,-0.2780,-0.5870
1972-12-22,-0.2570,-0.6250
1972-12-29,-0.2110,-0.6240
1973-01-05,-0.1380,-0.5740
1973-01-12,-0.0360,-0.4650
1973-01-19,0.0940,-0.2980
1973-01-26,0.2460,-0.0800
1973-02-02,0.4150,0.1760
1973-02-09,0.5900,0.4470
1973-02-16,0.7600,0.7060
1973-02-23,0.9160,0.9280
1973-03-02,1.0480,1.0940
1973-03-09,1.1510,1.1940
1973-03-16,1.2220,1.2290
1973-03-23,1.2650,1.2130
1973-03-30,1.2820,1.1650
1973-04-06,1.2790,1.1040
1973-04-13,1.2620,1.0470
1973-04-20,1.2370,1.0010
1973-04-27,1.2090,0.9700
1973-05-04,1.1800,0.9460
1973-05-11,1.1560,0.9230
1973-05-18,1.1370,0.8950
1973-05-25,1.1260,0.8600
1973-06-01,1.1250,0.8230
1973-06-08,1.1390,0.7950
1973-06-15,1.1690,0.7870
1973-06-22,1.2180,0.8060
1973-06-29,1.2870,0.8600
1973-07-06,1.3750,0.9470
1973-07-13,1.4820,1.0660
1973-07-20,1.6020,1.2090
1973-07-27,1.7330,1.3720
1973-08-03,1.8650,1.5450
1973-08-10,1.9950,1.7210
1973-08-17,2.1160,1.8880
1973-08-24,2.2240,2.0350
1973-08-31,2.3120,2.1510
1973-09-07,2.3760,2.2280
1973-09-14,2.4150,2.2610
1973-09-21,2.4270,2.2510
1973-09-28,2.4160,2.1920
1973-10-05,2.3830,2.0800
1973-10-12,2.3380,1.9250
1973-10-19,2.2850,1.7400
1973-10-26,2.2330,1.5560
1973-11-02,2.1890,1.4060
1973-11-09,2.1550,1.3240
1973-11-16,2.1330,1.3270
1973-11-23,2.1150,1.4020
1973-11-30,2.0940,1.5140
1973-12-07,2.0550,1.6130
1973-12-14,1.9920,1.6530
1973-12-21,1.8970,1.6050
1973-12-28,1.7680,1.4640
1974-01-04,1.6070,1.2460
1974-01-11,1.4240,0.9800
1974-01-18,1.2280,0.6910
1974-01-25,1.0320,0.4000
1974-02-01,0.8480,0.1230
1974-02-08,0.6870,-0.1260
1974-02-15,0.5610,-0.3310
1974-02-22,0.4770,-0.4750
1974-03-01,0.4400,-0.5430
1974-03-08,0.4550,-0.5320
1974-03-15,0.5240,-0.4460
1974-03-22,0.6450,-0.3020
1974-03-29,0.8160,-0.1120
1974-04-05,1.0320,0.1130
1974-04-12,1.2900,0.3770
1974-04-19,1.5820,0.6770
1974-04-26,1.9040,1.0170
1974-05-03,2.2470,1.3900
1974-05-10,2.6060,1.7890
1974-05-17,2.9750,2.2050
1974-05-24,3.3420,2.6340
1974-05-31,3.7020,3.0790
1974-06-07,4.0460,3.5370
1974-06-14,4.3630,3.9940
1974-06-21,4.6450,4.4260
1974-06-28,4.8790,4.7940
1974-07-05,5.0570,5.0580
1974-07-12,5.1730,5.1940
1974-07-19,5.2240,5.2010
1974-07-26,5.2170,5.1000
1974-08-02,5.1610,4.9300
1974-08-09,5.0640,4.7270
1974-08-16,4.9410,4.5360
1974-08-23,4.8000,4.3820
1974-08-30,4.6500,4.2810
1974-09-06,4.4950,4.2280
1974-09-13,4.3370,4.2050
1974-09-20,4.1750,4.1790
1974-09-27,4.0070,4.1070
1974-10-04,3.8320,3.9620
1974-10-11,3.6500,3.7320
1974-10-18,3.4680,3.4420
1974-10-25,3.2960,3.1340
1974-11-01,3.1400,2.8560
1974-11-08,3.0060,2.6480
1974-11-15,2.8980,2.5290
1974-11-22,2.8110,2.4900
1974-11-29,2.7400,2.5090
1974-12-06,2.6780,2.5530
1974-12-13,2.6140,2.5880
1974-12-20,2.5420,2.5880
1974-12-27,2.4530,2.5310
1975-01-03,2.3430,2.4050
1975-01-10,2.2120,2.2100
1975-01-17,2.0640,1.9590
1975-01-24,1.9040,1.6760
1975-01-31,1.7390,1.3900
1975-02-07,1.5750,1.1250
1975-02-14,1.4180,0.9020
1975-02-21,1.2700,0.7220
1975-02-28,1.1330,0.5800
1975-03-07,1.0070,0.4670
1975-03-14,0.8910,0.3710
1975-03-21,0.7840,0.2870
1975-03-28,0.6820,0.2100
1975-04-04,0.5840,0.1380
1975-04-11,0.4870,0.0640
1975-04-18,0.3910,-0.0140
1975-04-25,0.2970,-0.1030
1975-05-02,0.2070,-0.2000
1975-05-09,0.1220,-0.3000
1975-05-16,0.0450,-0.3920
1975-05-23,-0.0220,-0.4680
1975-05-30,-0.0770,-0.5200
1975-06-06,-0.1190,-0.5460
1975-06-13,-0.1480,-0.5510
1975-06-20,-0.1660,-0.5450
1975-06-27,-0.1740,-0.5360
1975-07-04,-0.1760,-0.5300
1975-07-11,-0.1720,-0.5330
