date,advances,declines,ra_net,ema5,ema10,oscillator
1998-12-22,0,0,0.0000,0.0000,0.0000,0.0000
1998-12-23,8,1,77.7778,25.9259,14.1414,11.7845
1998-12-24,6,3,33.3333,28.3951,17.6309,10.7642
1998-12-28,2,7,-55.5556,0.4115,4.3242,-3.9127
1998-12-29,9,0,100.0000,33.6077,21.7198,11.8879
1998-12-30,0,9,-100.0000,-10.9282,-0.4110,-10.5172
1998-12-31,3,6,-33.3333,-18.3966,-6.3969,-11.9997
1999-01-04,1,7,-75.0000,-37.2644,-18.8702,-18.3942
1999-01-05,8,1,77.7778,1.0830,-1.2978,2.3808
1999-01-06,9,0,100.0000,34.0553,17.1199,16.9354
1999-01-07,1,8,-77.7778,-3.2224,-0.1342,-3.0882
1999-01-08,8,1,77.7778,23.7777,14.0316,9.7461
1999-01-11,3,6,-33.3333,4.7407,5.4198,-0.6791
1999-01-12,1,8,-77.7778,-22.7655,-9.7070,-13.0585
1999-01-13,3,6,-33.3333,-26.2881,-14.0027,-12.2854
1999-01-14,0,9,-100.0000,-50.8587,-29.6386,-21.2201
1999-01-15,9,0,100.0000,-0.5725,-6.0679,5.4954
1999-01-19,3,5,-25.0000,-8.7150,-9.5101,0.7951
1999-01-20,5,4,11.1111,-2.1063,-5.7608,3.6545
1999-01-21,1,8,-77.7778,-27.3301,-18.8548,-8.4753
1999-01-22,2,7,-55.5556,-36.7386,-25.5277,-11.2109
1999-01-25,5,4,11.1111,-20.7887,-18.8661,-1.9226
1999-01-26,6,2,50.0000,2.8075,-6.3450,9.1525
1999-01-27,2,7,-55.5556,-16.6468,-15.2923,-1.3545
1999-01-28,7,2,55.5556,7.4206,-2.4109,9.8315
1999-01-29,6,1,71.4286,28.7566,11.0144,17.7422
1999-02-01,5,4,11.1111,22.8748,11.0320,11.8428
1999-02-02,3,6,-33.3333,4.1387,2.9656,1.1731
1999-02-03,8,1,77.7778,28.6851,16.5678,12.1173
1999-02-04,3,6,-33.3333,8.0123,7.4949,0.5174
1999-02-05,3,6,-33.3333,-5.7696,0.0716,-5.8412
1999-02-08,4,4,0.0000,-3.8464,0.0586,-3.9049
1999-02-09,1,8,-77.7778,-28.4902,-14.0935,-14.3967
1999-02-10,7,1,75.0000,6.0065,2.1053,3.9012
1999-02-11,7,2,55.5556,22.5229,11.8235,10.6993
1999-02-12,0,9,-100.0000,-18.3181,-8.5080,-9.8101
1999-02-16,6,3,33.3333,-1.1009,-0.9005,-0.2004
1999-02-17,1,7,-75.0000,-25.7340,-14.3731,-11.3608
1999-02-18,8,0,100.0000,16.1774,6.4220,9.7554
1999-02-19,6,3,33.3333,21.8960,11.3150,10.5811
1999-02-22,9,0,100.0000,47.9307,27.4395,20.4912
1999-02-23,2,7,-55.5556,13.4353,12.3495,1.0858
1999-02-24,1,8,-77.7778,-16.9691,-4.0373,-12.9318
1999-02-25,2,6,-50.0000,-27.9794,-12.3941,-15.5852
1999-02-26,6,2,50.0000,-1.9863,-1.0497,-0.9365
1999-03-01,2,7,-55.5556,-19.8427,-10.9599,-8.8828
1999-03-02,2,7,-55.5556,-31.7470,-19.0682,-12.6788
1999-03-03,3,5,-25.0000,-29.4980,-20.1467,-9.3513
1999-03-04,9,0,100.0000,13.6680,1.6981,11.9699
1999-03-05,9,0,100.0000,42.4453,19.5712,22.8741
1999-03-08,7,2,55.5556,46.8154,26.1138,20.7016
1999-03-09,4,5,-11.1111,27.5066,19.3457,8.1609
1999-03-10,4,4,0.0000,18.3377,15.8283,2.5095
1999-03-11,8,1,77.7778,38.1511,27.0918,11.0593
1999-03-12,5,4,11.1111,29.1377,24.1862,4.9515
1999-03-15,7,2,55.5556,37.9437,29.8897,8.0539
1999-03-16,2,7,-55.5556,6.7773,14.3542,-7.5770
1999-03-17,1,8,-77.7778,-21.4077,-2.3970,-19.0107
1999-03-18,9,0,100.0000,19.0615,16.2206,2.8409
1999-03-19,1,8,-77.7778,-13.2183,-0.8700,-12.3482
1999-03-22,4,4,0.0000,-8.8122,-0.7118,-8.1003
1999-03-23,0,9,-100.0000,-39.2081,-18.7642,-20.4439
1999-03-24,4,5,-11.1111,-29.8424,-17.3727,-12.4697
1999-03-25,8,1,77.7778,6.0310,-0.0727,6.1036
1999-03-26,2,7,-55.5556,-14.4979,-10.1605,-4.3374
1999-03-29,8,1,77.7778,16.2607,5.8283,10.4324
1999-03-30,1,8,-77.7778,-15.0855,-9.3728,-5.7127
1999-03-31,0,9,-100.0000,-43.3903,-25.8505,-17.5399
1999-04-01,6,2,50.0000,-12.2602,-12.0595,-0.2007
1999-04-05,9,0,100.0000,25.1599,8.3150,16.8449
1999-04-06,3,6,-33.3333,5.6621,0.7426,4.9196
1999-04-07,6,3,33.3333,14.8859,6.6682,8.2177
1999-04-08,9,0,100.0000,43.2572,23.6376,19.6197
1999-04-09,5,4,11.1111,32.5419,21.3600,11.1818
1999-04-12,8,1,77.7778,47.6205,31.6178,16.0027
1999-04-13,3,6,-33.3333,20.6359,19.8085,0.8274
1999-04-14,2,7,-55.5556,-4.7613,6.1060,-10.8672
1999-04-15,5,4,11.1111,0.5295,7.0160,-6.4865
1999-04-16,6,3,33.3333,11.4641,11.8010,-0.3368
1999-04-19,4,4,0.0000,7.6428,9.6553,-2.0126
1999-04-20,6,3,33.3333,16.2063,13.9604,2.2459
1999-04-21,8,1,77.7778,36.7301,25.5636,11.1665
1999-04-22,7,2,55.5556,43.0053,31.0167,11.9886
1999-04-23,5,4,11.1111,32.3739,27.3975,4.9764
1999-04-26,1,8,-77.7778,-4.3433,8.2747,-12.6180
1999-04-27,8,1,77.7778,23.0304,20.9116,2.1187
1999-04-28,3,6,-33.3333,4.2425,11.0489,-6.8064
1999-04-29,5,4,11.1111,6.5320,11.0602,-4.5282
1999-04-30,0,9,-100.0000,-28.9787,-9.1326,-19.8461
1999-05-03,9,0,100.0000,14.0142,10.7097,3.3045
1999-05-04,2,7,-55.5556,-9.1757,-1.3385,-7.8372
1999-05-05,6,2,50.0000,10.5495,7.9958,2.5538
1999-05-06,3,6,-33.3333,-4.0781,0.4814,-4.5595
1999-05-07,8,1,77.7778,23.2072,14.5353,8.6719
1999-05-10,1,8,-77.7778,-10.4545,-2.2489,-8.2055
1999-05-11,8,1,77.7778,18.9563,12.3014,6.6549
1999-05-12,6,3,33.3333,23.7486,16.1254,7.6233
1999-05-13,4,5,-11.1111,12.1287,11.1733,0.9554
1999-05-14,0,9,-100.0000,-25.2475,-9.0400,-16.2075
1999-05-17,3,6,-33.3333,-27.9428,-13.4570,-14.4858
1999-05-18,3,6,-33.3333,-29.7396,-17.0709,-12.6688
1999-05-19,8,1,77.7778,6.0995,0.1743,5.9252
1999-05-20,5,4,11.1111,7.7700,2.1628,5.6072
1999-05-21,1,8,-77.7778,-20.7459,-12.3718,-8.3741
1999-05-24,1,8,-77.7778,-39.7565,-24.2638,-15.4927
1999-05-25,1,8,-77.7778,-52.4303,-33.9936,-18.4367
1999-05-26,6,2,50.0000,-18.2869,-18.7221,0.4352
1999-05-27,0,9,-100.0000,-45.5246,-33.4999,-12.0247
1999-05-28,8,1,77.7778,-4.4238,-13.2676,8.8438
1999-06-01,5,4,11.1111,0.7545,-8.8351,9.5896
1999-06-02,3,5,-25.0000,-7.8303,-11.7742,3.9438
1999-06-03,6,3,33.3333,5.8909,-3.5728,9.4637
1999-06-04,9,0,100.0000,37.2606,15.2586,22.0020
1999-06-07,7,2,55.5556,43.3589,22.5853,20.7736
1999-06-08,0,8,-100.0000,-4.4274,0.2971,-4.7245
1999-06-09,5,4,11.1111,0.7521,2.2633,-1.5112
1999-06-10,2,7,-55.5556,-18.0171,-8.2492,-9.7679
1999-06-11,2,7,-55.5556,-30.5299,-16.8504,-13.6795
1999-06-14,7,2,55.5556,-1.8348,-3.6857,1.8509
1999-06-15,8,1,77.7778,24.7027,11.1259,13.5769
1999-06-16,8,1,77.7778,42.3944,23.2444,19.1500
1999-06-17,7,2,55.5556,46.7815,29.1192,17.6623
1999-06-18,3,6,-33.3333,20.0765,17.7642,2.3124
1999-06-21,3,6,-33.3333,2.2732,8.4737,-6.2005
1999-06-22,1,8,-77.7778,-24.4104,-7.2084,-17.2020
1999-06-23,5,4,11.1111,-12.5699,-3.8776,-8.6923
1999-06-24,0,9,-100.0000,-41.7133,-21.3544,-20.3589
1999-06-25,4,5,-11.1111,-31.5126,-19.4920,-12.0206
1999-06-28,8,1,77.7778,4.9176,-1.8066,6.7241
1999-06-29,8,1,77.7778,29.2043,12.6633,16.5410
1999-06-30,8,1,77.7778,45.3955,24.5023,20.8931
1999-07-01,8,1,77.7778,56.1896,34.1888,22.0008
1999-07-02,7,0,100.0000,70.7930,46.1544,24.6386
1999-07-06,4,5,-11.1111,43.4917,35.7425,7.7491
1999-07-07,3,6,-33.3333,17.8833,23.1833,-5.2999
1999-07-08,3,6,-33.3333,0.8111,12.9075,-12.0964
1999-07-09,6,1,71.4286,24.3503,23.5477,0.8025
1999-07-12,3,6,-33.3333,5.1224,13.2057,-8.0833
1999-07-13,1,8,-77.7778,-22.5110,-3.3367,-19.1743
1999-07-14,7,2,55.5556,3.5112,7.3709,-3.8598
1999-07-15,8,1,77.7778,28.2667,20.1722,8.0945
1999-07-16,7,2,55.5556,37.3630,26.6055,10.7575
1999-07-19,1,8,-77.7778,-1.0173,7.6267,-8.6440
1999-07-20,1,8,-77.7778,-26.6041,-7.9013,-18.7028
1999-07-21,4,5,-11.1111,-21.4398,-8.4849,-12.9548
1999-07-22,2,7,-55.5556,-32.8117,-17.0432,-15.7685
