Date,PE,RealTRPrice
1871-01-01,11.1000,109.0500
1871-02-01,11.2500,107.7653
1871-03-01,11.5250,109.2988
1871-04-01,11.8500,117.1712
1871-05-01,12.1500,123.4793
1871-06-01,12.0500,124.9511
1871-07-01,11.8250,123.1797
1871-08-01,11.9750,127.3109
1871-09-01,12.1000,126.1874
1871-10-01,11.4750,118.3850
1871-11-01,11.6000,120.2334
1871-12-01,11.8500,120.6024
1872-01-01,12.0745,124.2139
1872-02-01,12.0494,125.2931
1872-03-01,12.3681,128.0536
1872-04-01,12.6341,129.3150
1872-05-01,12.5576,129.8906
1872-06-01,12.3614,130.1654
1872-07-01,12.2156,131.9296
1872-08-01,12.0000,130.0321
1872-09-01,11.7160,127.3967
1872-10-01,11.6941,131.4188
1872-11-01,11.5789,127.7301
1872-12-01,11.7907,133.4055
1873-01-01,11.8150,135.1213
1873-02-01,11.8391,133.8977
1873-03-01,11.6800,133.5240
1873-04-01,11.4545,132.3699
1873-05-01,11.4124,136.2571
1873-06-01,11.1910,139.1698
1873-07-01,11.1061,139.6298
1873-08-01,11.0444,140.3789
1873-09-01,10.1436,130.4048
1873-10-01,9.2088,122.5961
1873-11-01,8.8306,122.8139
1873-12-01,9.6087,132.0331
1874-01-01,10.1304,137.8701
1874-02-01,10.4348,142.8257
1874-03-01,10.2826,141.5611
1874-04-01,10.0000,140.6569
1874-05-01,9.7391,138.9140
1874-06-01,9.6957,142.5128
1874-07-01,9.6957,142.2441
1874-08-01,9.7174,144.5971
1874-09-01,9.8696,147.7511
1874-10-01,9.8478,150.7526
1874-11-01,9.9348,154.2626
1874-12-01,9.8696,154.1782
1875-01-01,10.0509,155.1050
1875-02-01,10.2188,155.6886
1875-03-01,10.5517,158.6744
1875-04-01,10.8976,160.3461
1875-05-01,10.6861,158.9601
1875-06-01,10.6829,159.3709
1875-07-01,10.9286,160.6824
1875-08-01,11.2128,160.9849
1875-09-01,11.3506,161.8307
1875-10-01,11.4149,160.1797
1875-11-01,11.8653,165.1380
1875-12-01,12.1389,167.5273
1876-01-01,12.6238,173.4444
1876-02-01,13.0372,176.7499
1876-03-01,13.2647,177.3365
1876-04-01,13.0213,173.1529
1876-05-01,12.7946,173.9233
1876-06-01,12.9688,178.6328
1876-07-01,13.0865,177.5567
1876-08-01,12.8138,169.6762
1876-09-01,12.3000,158.9082
1876-10-01,12.5128,156.2310
1876-11-01,12.5567,152.9249
1876-12-01,12.7857,150.4263
1877-01-01,12.6021,147.5727
1877-02-01,11.7896,143.5637
1877-03-01,11.1228,143.6456
1877-04-01,10.2546,130.5575
1877-05-01,10.1977,129.1495
1877-06-01,9.4138,127.6608
1877-07-01,9.7703,132.9368
1877-08-01,10.3989,148.7059
1877-09-01,10.9831,160.4110
1877-10-01,11.1560,164.7361
1877-11-01,10.9286,166.3345
1877-12-01,10.8333,166.6322
1878-01-01,10.8045,172.6202
1878-02-01,10.5403,171.5026
1878-03-01,10.7107,179.3177
1878-04-01,10.9792,187.1512
1878-05-01,10.9796,194.8691
1878-06-01,11.1803,204.3937
1878-07-01,11.3800,207.1570
1878-08-01,11.2488,203.9880
1878-09-01,11.4472,209.0261
1878-10-01,11.2877,209.8825
1878-11-01,11.2225,212.5750
1878-12-01,11.1290,217.2062
1879-01-01,11.3363,223.7419
1879-02-01,11.5325,230.1750
1879-03-01,11.1450,230.0234
1879-04-01,11.3111,241.3409
1879-05-01,11.6156,253.2282
1879-06-01,11.4783,258.5371
1879-07-01,11.5165,261.7243
1879-08-01,11.4101,264.7114
1879-09-01,11.6414,266.2376
1879-10-01,12.7070,280.5320
1879-11-01,13.1748,281.5325
1879-12-01,12.9474,273.6223
1880-01-01,13.1295,276.9906
1880-02-01,13.0555,282.8177
1880-03-01,13.0061,286.5041
1880-04-01,12.4310,292.0282
1880-05-01,11.2024,278.1513
1880-06-01,11.0115,286.2186
1880-07-01,11.2787,300.5346
1880-08-01,11.4494,312.5319
1880-09-01,11.2000,309.9631
1880-10-01,11.2996,320.1854
1880-11-01,11.6681,334.8645
1880-12-01,11.9184,346.3871
1881-01-01,12.7419,372.1790
1881-02-01,12.8088,368.6052
1881-03-01,13.0681,374.1562
1881-04-01,13.1418,370.6520
1881-05-01,13.8534,392.6375
1881-06-01,14.1505,398.9298
1881-07-01,13.7804,382.6518
1881-08-01,13.5757,367.8340
1881-09-01,13.8122,358.3903
1881-10-01,13.7185,350.8577
1881-11-01,13.9352,357.9523
1881-12-01,13.6591,349.0854
1882-01-01,13.4791,345.4067
1882-02-01,13.2101,336.2347
1882-03-01,13.2114,337.2025
1882-04-01,13.2356,335.6497
1882-05-01,13.1023,330.1068
1882-06-01,13.0575,326.9413
1882-07-01,13.8185,350.0497
1882-08-01,14.2626,358.8441
1882-09-01,14.4277,373.9833
1882-10-01,14.0607,368.8084
1882-11-01,13.4865,357.9776
1882-12-01,13.5814,364.9094
1883-01-01,13.5906,364.7052
1883-02-01,13.3647,354.8504
1883-03-01,13.6095,364.3374
1883-04-01,13.9762,377.2416
1883-05-01,13.8204,376.1690
1883-06-01,14.0241,392.6293
1883-07-01,13.8909,396.3173
1883-08-01,13.3415,380.2173
1883-09-01,13.5706,390.2681
1883-10-01,13.2840,381.6129
1883-11-01,13.5652,393.2852
1883-12-01,13.3500,382.6392
1884-01-01,13.1975,373.1347
1884-02-01,13.8182,385.1805
1884-03-01,14.0397,385.6934
1884-04-01,13.6757,377.9804
1884-05-01,12.8276,356.8707
1884-06-01,12.5634,344.3354
1884-07-01,12.8345,350.1459
1884-08-01,13.9412,374.2001
1884-09-01,13.8045,368.4362
1884-10-01,13.6615,362.4756
1884-11-01,13.7008,365.3662
1884-12-01,14.0000,370.9118
1885-01-01,13.8246,364.5319
1885-02-01,14.4082,373.5512
1885-03-01,14.6000,385.2470
1885-04-01,14.7287,382.0258
1885-05-01,14.7289,388.6349
1885-06-01,14.8276,398.2682
1885-07-01,15.5563,410.2231
